orig_airport,dest_airport,total_passengers
DCA,JFK,123724
MKE,BOS,123708
BOS,SEA,123686
PVD,DTW,123451
ORD,JAX,123392
IAH,PIT,123186
STL,HOU,123176
SEA,FAI,123175
SLC,RNO,123072
TUS,SAN,122983
JAX,ORD,122978
CLE,MSP,122803
DFW,BDL,122670
MIA,LAS,122416
DFW,PIT,122387
PHX,BOS,122239
DTW,CMH,122201
BDL,IAD,122177
PIT,IAH,121770
DFW,GRK,121768
CVG,MSP,121655
IAH,IND,121418
DFW,CVG,121347
GRK,DFW,121281
IND,PHL,121252
ORD,DAY,121164
BUF,PHL,120661
DTW,PIT,120567
ELP,SAT,120557
PIT,DTW,120530
BNA,JAX,120530
BDL,TPA,120523
ATL,MOB,120469
PBI,TPA,120455
AUS,ELP,120361
IND,MDW,120287
DCA,PHL,120030
DAY,ORD,119994
CVG,CLT,119543
CMH,MCO,119407
IND,IAH,119322
SEA,KTN,119295
SEA,JNU,119280
CVG,DTW,118968
MOB,ATL,118910
CLT,BHM,118894
JNU,SEA,118787
MDT,CLT,118743
DAL,IAH,118723
ATL,LEX,118658
DTW,PVD,118405
MCO,CMH,118396
DTW,CVG,118371
JAX,IAH,118357
BOS,PHX,118283
SJC,RNO,118019
LEX,ATL,117999
IAH,DAL,117933
PHL,BUF,117687
MSY,TPA,117633
ICT,DFW,117621
SAN,TUS,117618
ORD,OKC,117429
IAH,JAX,117278
CLT,MDT,117261
CMH,CVG,117233
CMH,DTW,117074
LGA,RIC,116883
MSP,CLE,116452
FAI,SEA,116292
ELP,AUS,116264
MCI,CLT,116245
MSP,MIA,116244
PHL,BWI,116165
BHM,CLT,116074
MSP,IAD,115965
DTW,GRB,115756
RIC,LGA,115598
ATL,BTR,115526
SAN,PHL,115319
OKC,HOU,115191
CLT,CVG,115176
SAT,ELP,115149
TPA,PBI,115062
OMA,LAS,114799
PBI,DCA,114798
HOU,STL,114771
MIA,MSP,114475
LAX,BWI,114413
DFW,CLE,114377
LAS,OMA,114197
MKE,DFW,114176
HOU,OKC,114127
GRB,DTW,114026
DFW,ICT,113868
MSP,CVG,113799
BOS,BUF,113716
MEM,LGA,113646
CVG,DCA,113547
CLE,DFW,113481
SEA,CVG,113454
IAD,MSP,113443
SLC,STL,113418
CVG,CMH,113312
BTR,ATL,113098
AMA,DFW,113087
MDW,RDU,112938
EWR,SLC,112781
LFT,IAH,112739
FAY,CLT,112539
CVG,BDL,112461
DCA,STL,112442
ICT,ORD,112438
SEA,PHL,112372
DFW,MKE,112301
SLC,EWR,112243
DCA,PVD,112236
PHL,LGA,112120
SMF,ATL,112040
CVG,SEA,111981
STL,DCA,111861
RIC,JFK,111748
ATL,SMF,111461
SYR,PHL,111428
BNA,PHX,111385
AGS,ATL,111361
ORD,ICT,111309
MSP,SNA,111280
MEM,IAH,111251
BHM,DAL,111042
DFW,AMA,111019
PHL,DCA,110960
IAH,PBI,110960
ATL,OKC,110945
IAH,TUS,110780
SLC,MCO,110717
IAH,CMH,110630
CLT,FAY,110531
CLT,MCI,110351
PBI,IAH,110321
JFK,RIC,110303
RNO,SJC,110265
MCI,DCA,110201
SNA,MSP,110162
PHL,SEA,110143
MCO,SLC,109900
RDU,MDW,109775
IAD,BDL,109757
OKC,ORD,109430
DCA,PBI,109358
SMF,MSP,109325
BOS,SLC,109227
IAH,MEM,109180
BUF,BOS,109103
PFN,ATL,109095
TUS,IAH,108955
FNT,DTW,108686
CMH,IAH,108657
DFW,JFK,108487
MCO,BHM,108481
JFK,MSY,108413
MDW,SFO,108330
DLH,MSP,108287
ATL,PFN,108094
DCA,MCI,108040
OMA,STL,107802
BDL,CVG,107763
PHL,SLC,107730
SFO,CVG,107708
DCA,CVG,107446
ORD,MDT,107414
DCA,IND,107308
IAH,LFT,107123
MSY,MIA,107089
MSY,JFK,107036
BWI,JAX,107016
SLC,BOS,107010
TPA,PIT,106944
OGG,PHX,106935
DCA,JAX,106885
MDT,ORD,106791
IAH,BNA,106781
PVD,TPA,106706
MIA,MSY,106656
MSP,SMF,106598
KTN,SEA,106504
IAH,OMA,106503
DCA,BDL,106457
SLC,PHL,106441
MCO,ALB,106345
TPA,MSY,106341
PHX,BNA,106279
JAX,DCA,106250
JFK,DFW,106240
ORD,GRB,106225
TPA,PVD,106129
STL,OMA,106017
GEG,MSP,105942
PHL,SAN,105922
OKC,ATL,105908
CLE,STL,105906
GRB,ORD,105890
GRB,MSP,105889
CLE,BOS,105842
DTW,SYR,105796
BDL,MSP,105760
MHT,DTW,105658
BWI,LAX,105569
IND,DCA,105536
RNO,PDX,105520
STL,CLE,105351
MDW,IND,105313
HOU,TUL,105185
OMA,IAH,105169
BNA,IAH,105119
FLL,LAX,104891
SYR,DTW,104879
MIA,IAD,104869
CVG,SFO,104843
STL,TPA,104802
JFK,JAX,104732
BIS,MSP,104533
MSP,BDL,104479
CLT,ALB,104428
DFW,RIC,104387
SFO,MDW,104235
LAN,DTW,104229
TUS,ATL,104220
MSP,DLH,104157
ATL,TUS,104096
TUL,HOU,104014
RIC,DFW,103946
MSP,BIS,103915
JAX,BWI,103914
RDU,TPA,103885
PDX,RNO,103608
JAX,JFK,103596
DTW,FNT,103542
IAD,MIA,103500
ALB,MCO,103470
DCA,MKE,103374
LIT,MEM,103293
EWR,JAX,103250
STL,EWR,103225
MKE,DCA,103201
TPA,STL,103175
ORD,MHT,103148
MSY,MEM,103146
PIT,CVG,103081
MHT,ORD,103035
PHX,OGG,102978
PIT,TPA,102938
LAS,ELP,102856
DTW,MHT,102746
CVG,TPA,102579
BOS,CLE,102475
MSP,GRB,102466
ABQ,ORD,102412
MSY,LAX,102349
MIA,STL,102283
LAS,FAT,102258
TPA,RDU,102144
TPA,CVG,102045
STL,MIA,102038
FLL,PIT,101994
LAX,MSY,101975
EWR,STL,101944
OGG,SEA,101791
DAY,DFW,101758
ALB,PHL,101636
SLC,MDW,101595
MEM,MSY,101562
STL,SLC,101534
DFW,HSV,101525
BDL,MDW,101365
TUL,STL,101163
DCA,MEM,101159
DTW,LAN,101083
SEA,MCO,101017
LAX,FLL,100986
LGA,IND,100985
MBS,DTW,100910
MSP,GEG,100883
CMH,MSP,100845
JAN,DFW,100801
JNU,ANC,100755
JAX,EWR,100605
MDW,SLC,100442
EWR,DCA,100430
PHL,SYR,100345
BHM,MCO,100217
IAD,EWR,100144
SLC,BWI,100071
DTW,MBS,100059
RNO,SFO,100042
HSV,DFW,99842
JFK,AUS,99822
ORD,ABQ,99786
OAK,IAD,99773
BTR,DFW,99765
OKC,MCI,99338
MSP,HNL,99257
PIA,ORD,99201
IAH,BHM,99096
MDW,BDL,98904
MSP,CMH,98743
BWI,PIT,98641
AUS,JFK,98507
CVG,PIT,98486
MCI,BWI,98459
ORD,TUS,98433
PHL,MSY,98285
PDX,EWR,98257
BWI,SLC,98255
SFO,RNO,98044
MEM,DCA,98000
IAD,OAK,97894
BDL,DCA,97857
TUL,PHX,97848
EWR,CVG,97800
MSY,EWR,97733
TYS,CLT,97722
CMH,TPA,97660
RNO,OAK,97644
DFW,DAY,97633
SAN,CLT,97553
CVG,EWR,97401
MGM,ATL,97393
PVD,DCA,97377
MCO,SEA,97277
SFO,EUG,97276
PHL,ALB,97266
BHM,IAH,97245
TPA,CMH,97019
EUG,SFO,97012
RDU,CVG,96944
DFW,BTR,96917
MSP,DSM,96683
EWR,MSY,96671
PIT,BWI,96571
DFW,JAN,96549
EWR,IAD,96548
SNA,EWR,96498
ALB,CLT,96486
CLT,OAJ,96484
BLI,SEA,96430
TUS,ORD,96271
SHV,DFW,96239
FAT,LAS,96233
MEM,LIT,96145
CLT,DAY,96139
BLI,LAS,96112
DFW,PBI,96090
ALB,DTW,96089
PBI,DFW,96058
DAL,BHM,95951
DTW,ALB,95843
CLT,TYS,95697
PHL,MKE,95584
AVL,CLT,95513
ATL,AGS,95435
LGA,IAD,95394
IAH,JFK,95327
HNL,MSP,95282
ATL,MGM,95273
OAK,RNO,95230
SEA,DCA,95147
BNA,MSY,95137
MKE,PHL,95132
ELP,LAX,95021
DSM,MSP,94968
LAX,ELP,94870
BWI,BHM,94857
DFW,HOU,94840
ELP,LAS,94625
ANC,JNU,94612
DAY,CLT,94559
RIC,PHL,94357
BWI,MCI,94206
DCA,SEA,94097
STL,TUL,94091
LGA,BNA,94069
MEM,SAT,94049
GSP,CLT,94037
SEA,STL,94031
JFK,IAH,94020
LAS,BLI,94018
ABQ,OAK,94000
MCI,OKC,93996
MEM,PHX,93874
PHX,MEM,93776
BHM,BWI,93652
CLT,AVL,93614
CMH,STL,93487
ORD,PIA,93456
LGA,MDW,93447
EWR,BUF,93426
SBA,LAX,93422
DCA,PIT,93365
MCI,SAN,93205
EWR,SNA,93187
MDW,LGA,92898
IAH,STL,92897
HNL,SLC,92549
IND,LGA,92466
SLC,HNL,92459
HOU,DFW,92259
CVG,JFK,92245
DTW,CLE,92221
HOU,ABQ,92186
SJC,ATL,92080
SEA,BLI,91998
SAT,MEM,91980
IAD,LGA,91739
PHX,TUL,91696
EWR,PDX,91682
MSY,BNA,91607
BUF,EWR,91597
BNA,LGA,91542
MEM,MKE,91450
SJC,AUS,91398
MDW,PDX,91158
CRP,DFW,90970
MKE,MEM,90941
CLT,SAN,90896
BZN,MSP,90610
DCA,EWR,90591
LIT,IAH,90395
LAX,SBA,90335
IAH,LIT,90309
BWI,DAY,90276
MSY,PHL,90222
LGA,PHL,90216
ATL,SJC,90181
SLC,SJC,90136
CLE,DTW,90133
AUS,SJC,89836
DAY,BWI,89733
PHL,PWM,89575
PDX,MDW,89493
STL,SEA,89456
OAJ,CLT,89422
PHX,FLL,89319
MSP,BZN,89300
JAX,TPA,89258
IAH,OAK,89251
MSY,DCA,89151
IND,MEM,89088
BHM,TPA,89032
FLL,PHX,88941
BTV,ORD,88914
DCA,MSY,88890
SJC,MSP,88758
OAK,ABQ,88665
STL,IAH,88607
SGF,DFW,88606
LAX,MEM,88562
SJC,SLC,88366
OAK,IAH,88321
DFW,CRP,88297
BTV,PHL,88260
DFW,SGF,88255
ELP,HOU,88181
BWI,PWM,88063
EWR,CMH,88004
OAK,HNL,87930
PWM,PHL,87742
ABQ,MSP,87579
STL,CMH,87559
SAN,HNL,87434
PWM,BWI,87353
DFW,SHV,87352
TPA,BHM,87220
FAY,ATL,87049
MEM,TPA,87018
BWI,IND,86972
LAS,GEG,86936
STL,OKC,86888
ATL,FAY,86878
CVG,BWI,86836
CLE,BNA,86836
BUF,LGA,86815
BNA,CLE,86738
ORD,BTV,86711
FAT,PHX,86614
MSP,SJC,86584
PHL,RIC,86562
ATL,MYR,86512
ORD,COS,86494
RDM,PDX,86385
OKC,STL,86311
HNL,OAK,86128
ORD,XNA,86060
SLC,BZN,85866
TPA,MEM,85734
SAN,ABQ,85563
BWI,CVG,85496
HNL,SAN,85455
MAF,DFW,85394
SBN,ORD,85376
MSP,ABQ,85221
PHL,BTV,85118
MSP,PIT,85115
PHX,RDU,85079
PDX,JFK,85050
CMH,EWR,85007
BZN,SLC,84888
MYR,ATL,84845
SAN,MCI,84845
SAN,BWI,84844
CLT,GSP,84769
COS,ORD,84742
RDU,PHX,84649
ATL,TUL,84645
DFW,OAK,84604
SLC,JAC,84462
MHT,CLT,84307
STL,SFO,84013
EWR,AUS,84002
PDX,MFR,83917
GFK,MSP,83912
TPA,CLE,83797
TPA,JAX,83793
ABI,DFW,83683
PIT,DCA,83648
EWR,MKE,83636
PDX,RDM,83517
MSP,GFK,83469
DSM,DFW,83409
SAN,BOS,83389
TPA,MHT,83311
CHA,ATL,83260
ILM,ATL,83161
CVG,IAH,83086
BIL,MSP,82995
CAE,CLT,82756
ORD,PBI,82664
MEM,IND,82660
ABQ,MDW,82651
BWI,MKE,82607
HNL,SMF,82516
IAH,CVG,82507
SAN,AUS,82446
XNA,ORD,82413
MKE,EWR,82399
IAD,STL,82386
SAN,CVG,82372
JFK,PDX,82361
BWI,SAN,82308
MCI,LGA,82222
PIT,MSP,82191
BHM,MSY,82190
BNA,FLL,82175
CLT,EWN,82163
IAH,IAD,82104
BRO,IAH,82096
ABQ,SAN,82075
MKE,BWI,82069
JAC,SLC,82030
LAS,MSY,82027
OAK,DFW,81892
AUS,EWR,81888
ORD,LIT,81879
AVL,ATL,81832
CLE,TPA,81827
MSY,LAS,81796
BOS,SAN,81763
MHT,TPA,81750
LGA,BUF,81750
DTW,SAN,81687
IND,BWI,81679
GEG,LAS,81672
PHL,GSO,81631
MCI,IND,81617
SMF,HNL,81616
ATL,ILM,81546
MSP,BIL,81495
LAX,FAT,81368
PHX,FAT,81283
TUL,ATL,81264
GNV,ATL,81252
TYS,ORD,81096
PBI,ORD,81075
MSP,RAP,80998
JFK,CVG,80952
EYW,MIA,80942
SAN,DTW,80797
DFW,MAF,80777
RDU,LAS,80739
ATL,SYR,80703
IAH,MAF,80662
ABQ,HOU,80613
LIT,ORD,80589
MSP,RDU,80570
DTW,TVC,80500
ATL,GNV,80432
LGA,MCI,80351
HNL,SJC,80204
IAD,IAH,80168
MDT,ATL,80148
IAH,BRO,80125
ORD,SBN,80101
CLT,MHT,79998
MIA,EYW,79886
CLT,ROA,79828
BWI,AUS,79824
HOU,ELP,79776
FAT,LAX,79767
SAT,DTW,79716
LAS,RDU,79686
ROA,CLT,79676
RAP,MSP,79661
GSO,PHL,79587
LAX,MKE,79582
ORD,TYS,79461
EWN,CLT,79442
EWR,SAT,79419
DFW,DSM,79345
ATL,MDT,79286
MFR,PDX,79278
MCI,TUL,79222
SYR,ATL,79142
ATL,AVL,79088
MSY,BHM,79087
MAF,IAH,78990
IAD,PIT,78975
SJC,HNL,78964
MKE,LAX,78948
TVC,DTW,78931
RDU,MSP,78873
SFO,STL,78685
CVG,SAN,78663
AUS,BWI,78640
CLT,SYR,78602
ABQ,MCO,78577
LGA,CHS,78405
ATL,OMA,78223
ANC,ORD,78075
BIL,SLC,78064
SMF,MDW,77920
BOS,STL,77877
GEG,PHX,77691
SLC,BIL,77607
LEX,CVG,77575
SAT,MCO,77529
PHL,ROC,77519
OMA,ATL,77510
AUS,SAN,77301
FWA,ORD,77192
PHX,GEG,77137
PDX,OGG,76815
ABQ,TUS,76787
ATL,PVD,76746
MCO,ABQ,76732
IND,MCI,76715
SAT,BWI,76657
PIT,IAD,76570
HNL,EWR,76456
MIA,JAX,76453
CVG,STL,76407
SEA,CLT,76393
CLT,CAE,76325
JAX,MIA,76318
PHX,COS,76254
CHS,LGA,76150
TUL,MCI,76103
DTW,SAT,76079
STL,CVG,75815
SGF,ORD,75764
ORD,SGF,75611
FLL,BNA,75597
DFW,ABI,75575
COS,PHX,75575
BWI,SAT,75506
CLT,HSV,75383
IND,CVG,75378
PHX,IAD,75219
OGG,PDX,75186
SAN,SAT,75108
SLC,ANC,74986
EWR,IND,74967
ORD,ANC,74933
DCA,BNA,74868
ROC,MCO,74779
SAN,RNO,74711
DFW,FAT,74675
ORD,FWA,74644
TUS,MDW,74574
SAT,EWR,74389
ATL,CHA,74362
EWR,HNL,74318
IAD,PHX,74307
EWR,PVD,74169
FLL,CLE,74075
ROC,BWI,74064
PNS,DFW,74063
FAT,DFW,74020
CLT,PNS,73946
ANC,SLC,73944
TVC,ORD,73938
PVD,ATL,73920
STL,BOS,73908
CVG,LEX,73900
ROC,PHL,73823
JFK,HOU,73798
IAH,COS,73630
LEX,CLT,73590
MCO,ROC,73575
JAX,DTW,73543
ELP,ATL,73446
ORD,TVC,73417
HSV,CLT,73404
PIT,FLL,73350
SAN,BNA,73213
DCA,SYR,73207
CLT,LEX,73153
PNS,CLT,73138
BNA,SAN,73137
OAK,HOU,73135
LAS,OKC,73033
CLE,FLL,73020
PNS,IAH,73005
LGA,GSO,72940
DFW,PNS,72915
CLT,SEA,72852
CMH,DCA,72807
CVG,MCI,72733
ATL,XNA,72638
BOS,RIC,72516
STL,IAD,72421
PBI,DTW,72388
TUS,ABQ,72300
DTW,JAX,72161
HOU,JFK,72135
MSO,SLC,72066
OGG,DFW,72029
SYR,CLT,71936
RNO,SAN,71872
JAN,IAH,71859
ATL,ALB,71840
FLL,HOU,71839
SLC,MSO,71750
HOU,OAK,71707
SBN,DTW,71617
ABE,CLT,71603
TPA,BUF,71542
IAH,PNS,71534
COS,IAH,71415
ATL,ELP,71354
MEM,MCI,71308
PVD,EWR,71298
LAS,BUF,71294
CVG,BNA,71292
DTW,SBN,71292
DTW,SLC,71281
CLT,CAK,71162
SLC,DTW,71161
BWI,ROC,71131
IAH,JAN,71086
MDT,PHL,71046
SBA,PHX,71038
ACY,MYR,71023
IAD,PVD,71014
MOT,MSP,71011
HOU,FLL,70994
DTW,AZO,70942
MDW,TUS,70931
MSP,MOT,70825
CLE,MKE,70799
GSO,LGA,70790
ALB,ATL,70787
ANC,PDX,70767
MDW,ABQ,70737
MYR,ACY,70717
CLT,ABE,70578
AZO,DTW,70513
MCO,SAT,70302
XNA,ATL,70255
BNA,CVG,70186
IND,EWR,70025
RIC,BOS,69806
ROC,DTW,69803
DTW,PBI,69796
SJC,MDW,69766
BUF,LAS,69755
DFW,OGG,69736
ALB,MDW,69722
BNA,BHM,69607
CAK,CLT,69570
PHX,SBA,69553
MCI,MEM,69471
BNA,DCA,69442
CVG,IND,69351
MKE,CLE,69296
BUF,TPA,69204
LAX,TPA,69153
PHL,MCI,69131
ADQ,ANC,69080
STL,LIT,69056
MSY,IAD,69052
ELP,ABQ,69047
BNA,AUS,68899
ALB,DCA,68813
OKC,LAS,68792
ANC,ADQ,68782
PVD,IAD,68751
MCI,TPA,68722
FLL,CVG,68690
MDT,DTW,68678
MYR,BOS,68606
AGS,CLT,68500
IAH,MKE,68273
MKE,IAH,68213
DTW,MDT,68141
MCI,PHL,68114
ABQ,ELP,68107
ORD,ATW,68105
TPA,MCI,68077
EWR,MEM,68032
CLT,AGS,68022
EWR,BNA,67969
CMI,ORD,67963
STL,MEM,67934
CLT,TLH,67885
BNA,MEM,67878
CVG,RDU,67856
GEG,OAK,67784
ORD,CMI,67747
DTW,ROC,67691
DCA,ALB,67602
LSE,MSP,67570
ATW,ORD,67464
SEA,ABQ,67305
MSP,BNA,67280
DFW,CID,67255
MCI,EWR,67253
ROC,EWR,67242
ORD,GSO,67216
COS,MSP,67099
ABQ,SEA,67003
BNA,EWR,66979
EWR,MCI,66934
BWI,ABQ,66919
ATL,SHV,66879
RDU,FLL,66840
SAT,SAN,66819
AVP,PHL,66812
PWM,ORD,66778
PHL,HOU,66773
CAK,LGA,66770
MEM,BNA,66730
MDW,SMF,66676
MEM,EWR,66659
CID,DFW,66653
HOU,BHM,66646
FLL,RDU,66553
EWR,ROC,66508
ELP,ORD,66431
OMA,MEM,66409
DCA,CMH,66406
MCI,CVG,66228
CVG,FLL,66224
BNA,MSP,66158
IND,IAD,66157
LIT,STL,66155
LGA,CAK,66047
MEM,STL,66044
BMI,ORD,65990
MSP,LSE,65945
IAD,SLC,65765
BOS,MYR,65724
SEA,MCI,65702
ORD,RST,65653
IAD,MSY,65631
BHM,BNA,65565
SAT,MDW,65551
ABQ,BWI,65551
FCA,SLC,65387
TLH,CLT,65377
AUS,MCO,65326
SLC,IAD,65322
MEM,OMA,65308
DTW,DAY,65092
DAY,DTW,65073
MSP,COS,65073
EWR,PWM,65055
FSD,ORD,65028
EUG,SEA,64995
CLT,MKE,64923
MCO,AUS,64905
GSO,ORD,64881
ORD,ELP,64867
SHV,ATL,64764
LAX,IND,64636
BNA,MIA,64631
SLC,FCA,64619
IAD,IND,64495
PWM,EWR,64491
SLC,IDA,64281
MCI,SEA,64209
ORD,FSD,64190
SLC,TUS,64070
FLL,MSP,63963
MDW,ALB,63953
RST,ORD,63894
TUS,SLC,63833
AUS,LBB,63832
PHL,MDT,63829
SFO,CLE,63598
SYR,DCA,63559
DTW,OMA,63551
TPA,MKE,63519
MDW,SJC,63482
CMH,BNA,63327
SBA,SFO,63297
IDA,SLC,63297
PHL,AVP,63270
MKE,TPA,63257
GPT,IAH,63219
MKE,CLT,63182
IAD,CMH,63155
ORD,BHM,63066
PDX,EUG,62938
PDX,ANC,62914
SFO,MFR,62912
OMA,DTW,62869
CVG,PHX,62831
CLE,SFO,62791
SFO,SBA,62669
MHT,DCA,62618
AUS,MDW,62597
ORD,PWM,62585
ROA,ATL,62547
CMH,IAD,62525
SEA,MSO,62482
RST,MSP,62384
ORD,CHS,62204
BWI,EWR,62172
MCI,OAK,62162
TPA,LAX,62089
PHX,CVG,62056
IAD,ALB,62035
HSV,DCA,61881
IAD,JAX,61879
SBN,CVG,61803
MFR,SFO,61625
ATL,ROA,61533
PWM,ATL,61505
OAK,BOS,61437
CVG,SBN,61356
LEX,ORD,61346
SEA,RDM,61274
PWM,DCA,61264
CVG,MKE,61225
BNA,CMH,61203
ALB,EWR,61192
AUS,BNA,61125
ORD,BMI,61083
ORD,OGG,60972
EUG,PDX,60898
OAK,GEG,60815
MDW,BHM,60815
BDL,FLL,60677
OAK,MCI,60665
DCA,PWM,60659
ORD,LEX,60657
IAD,SYR,60575
IAH,GPT,60493
IAH,LBB,60255
FLL,BDL,60233
CLT,CHO,60223
LBB,AUS,60211
MSO,SEA,60206
ATL,PWM,60165
MDW,SAT,60159
IAD,CLE,60121
MIA,BNA,60094
IND,LAX,60057
IAD,ROC,60044
CLE,IAD,59964
BHM,MDW,59918
CHS,ORD,59912
BHM,HOU,59908
IAD,PHL,59856
ERI,DTW,59849
HOU,PHL,59838
JAX,IAD,59760
SYR,IAD,59725
DAY,CVG,59710
EWR,BWI,59692
DTW,DSM,59651
MKE,CVG,59615
BUF,IAD,59604
ALB,IAD,59513
DFW,TYS,59437
BHM,ORD,59420
MSP,CID,59419
DCA,MHT,59417
SEA,EUG,59414
MCI,IAD,59289
MDW,AUS,59063
RIC,EWR,59031
CHO,CLT,59012
ROC,IAD,59004
MSP,FLL,58963
IAD,MCI,58781
CLE,DCA,58767
DSM,DTW,58744
LBB,IAH,58675
EWR,RIC,58630
TYS,DFW,58592
DCA,HSV,58592
BOS,OAK,58565
DCA,BUF,58525
CLT,LIT,58508
TUS,MSP,58476
ATL,GRR,58384
FLL,MSY,58151
DTW,ERI,58085
IAD,BUF,57978
PHX,BFL,57895
MCI,ABQ,57775
JFK,SJC,57738
OGG,SAN,57738
SCE,PHL,57723
EWR,BTV,57661
SAT,BNA,57650
RDM,SEA,57524
SBP,LAX,57514
PHL,DAY,57409
ELM,PHL,57375
LIT,CLT,57348
BNA,SAT,57340
MSP,RST,57291
BFL,PHX,57289
YKM,SEA,57282
MEM,BWI,57270
RIC,CVG,57263
PHL,ELM,57220
BTV,EWR,57193
CHS,DCA,57118
CID,MSP,57112
DTW,TYS,57086
CWA,MSP,56997
BWI,MEM,56963
DCA,CLE,56950
TUL,LAS,56922
LGA,PWM,56854
IAH,AMA,56841
SMF,SFO,56765
LAX,SBP,56735
SJC,JFK,56683
BUF,FLL,56662
GRR,ATL,56548
PHL,SCE,56461
MSY,FLL,56453
SFO,MCO,56437
ATL,COS,56395
SLC,DCA,56369
DCA,SLC,56251
LAS,TUL,56236
MSP,TUS,56225
AZO,ORD,56123
DCA,BTV,56052
AMA,IAH,56004
SFO,AUS,55751
BWI,JFK,55744
MEM,PHL,55727
RIC,IAD,55655
OMA,MKE,55643
MKE,OMA,55637
EWR,ALB,55636
DAY,PHL,55541
MEM,BHM,55459
DCA,CHS,55416
SEA,YKM,55322
MAF,HOU,55252
MSY,STL,55097
BHM,MEM,55086
ORD,RNO,55080
MSP,CWA,54948
PWM,LGA,54943
LAS,DCA,54874
PHL,CHS,54843
PVD,CLE,54770
SYR,EWR,54743
LGA,JAX,54721
MOB,IAH,54683
COS,ATL,54646
PHL,MEM,54607
JAN,BWI,54468
BTV,DCA,54464
PHL,ILM,54381
IAH,MOB,54359
FLL,BUF,54309
AUS,SFO,54247
BUF,DCA,54045
RNO,ORD,54027
MEM,FLL,53909
CVG,RIC,53883
SFO,SMF,53858
SAN,OGG,53800
ORD,SAV,53776
ORD,ABE,53744
ORD,AZO,53735
IAD,CHS,53712
SJT,DFW,53618
LEX,DTW,53596
CHS,PHL,53593
JAX,LGA,53590
RDU,STL,53516
EYW,ATL,53458
CLE,BDL,53451
MHT,EWR,53427
BDL,CLE,53401
MEM,MIA,53394
CVG,JAX,53372
LAW,DFW,53357
JFK,BWI,53343
BWI,JAN,53318
CLL,IAH,53292
FLL,MEM,53234
TUS,SEA,53230
MEM,BTR,53155
IAD,RIC,53055
ABE,ORD,53034
CLE,PVD,52987
MIA,MEM,52945
BGM,PHL,52870
PHL,IAD,52830
CMH,MEM,52829
ORD,LNK,52784
ORD,JAC,52718
OKC,MEM,52716
EWR,MHT,52686
SAV,ORD,52640
DCA,LAS,52636
IAD,PWM,52587
CLT,CRW,52544
ILM,PHL,52538
MCO,SFO,52460
ATL,EYW,52412
CLE,CVG,52409
PHL,BGM,52396
IAD,SAV,52237
GRR,CVG,52199
CRW,ATL,52193
IAD,BTV,52175
CHS,IAD,52144
CLE,MCI,52112
CVG,IAD,52108
STL,MSY,52065
EWR,GSO,52040
LNK,ORD,52026
IAD,CVG,51984
MEM,OKC,51942
JAX,MEM,51844
BTR,MEM,51824
LGA,SAV,51778
CHA,CLT,51778
DFW,SJT,51752
STL,FLL,51712
SEA,TUS,51706
BWI,LGA,51690
IAD,MDT,51689
EWR,SYR,51594
SAT,CLT,51573
ATL,CRW,51520
PGV,CLT,51263
RIC,MCO,51262
ITO,OGG,51250
ATL,CSG,51207
BOS,IND,51084
CLE,MHT,51080
MDT,IAD,51046
CRW,CLT,51042
MEM,JAX,51033
CLT,PGV,50882
CVG,GRR,50861
PWM,IAD,50807
MEM,AUS,50784
STL,RDU,50778
SHV,IAH,50648
MCO,SYR,50636
CSG,ATL,50622
IAD,CAE,50618
CLT,SAT,50487
MSP,SAT,50483
DTW,LEX,50460
SYR,MCO,50459
MHT,CLE,50441
CVG,MIA,50429
IND,BOS,50372
CVG,BHM,50336
MSO,MSP,50331
SEA,MIA,50300
IAH,ICT,50273
GPT,MEM,50236
DTW,MYR,50216
DFW,LRD,50206
AUS,CLT,50118
SPS,DFW,50113
BDL,EWR,50107
BOS,CMH,50076
IND,CLE,50076
DSM,MEM,50026
YUM,PHX,50026
STL,MKE,50023
MYR,DTW,49980
CLE,IND,49949
IAH,SHV,49941
SAV,IAD,49868
CMH,BOS,49842
SAT,MSP,49822
SAV,LGA,49794
ATW,MSP,49773
RNO,IAH,49763
OGG,ITO,49682
IAH,RNO,49654
ICT,IAH,49623
ITH,PHL,49548
DAY,MCO,49488
FLL,STL,49486
LRD,DFW,49468
CLT,GNV,49467
PHX,YUM,49463
MCI,SLC,49457
ACT,DFW,49451
MEM,GPT,49444
BTV,IAD,49321
IAH,TYS,49304
CVG,CLE,49278
AUS,MEM,49227
PHL,ITH,49118
TYS,IAH,49104
CLT,AUS,49092
JAX,CVG,49064
MCO,RIC,49023
DTW,RIC,48987
DFW,GSO,48937
SEA,PUW,48899
CVG,GSO,48748
TPA,ACY,48672
TYS,MEM,48611
FAT,SFO,48559
CLE,JFK,48543
CLT,CHA,48516
TYS,DTW,48446
MEM,CMH,48430
MCI,CLE,48426
DFW,LAW,48336
ACY,TPA,48290
MSP,MSO,48271
LAX,DCA,48257
TYS,CVG,48241
LGA,MSY,48222
CLE,ALB,48108
DTW,FWA,48091
EAT,SEA,48004
SLC,MCI,47946
GNV,CLT,47904
GSO,EWR,47898
CVG,DAY,47853
ACV,SFO,47848
BUF,CLE,47809
MSY,LGA,47778
LCH,IAH,47762
SFO,ACV,47749
MCO,DAY,47642
RIC,DTW,47638
CLE,RDU,47635
DHN,ATL,47626
DTW,GSO,47588
SLC,TPA,47553
EVV,ORD,47546
CVG,TYS,47512
