orig_airport,dest_airport,orig_city,dest_city,total_passengers
SLC,TCM,"Salt Lake City, UT","Tacoma, WA",270
IND,TCM,"Indianapolis, IN","Tacoma, WA",143
FLL,TOL,"Fort Lauderdale, FL","Toledo, OH",143
PBI,TOL,"West Palm Beach, FL","Toledo, OH",93
ACY,TOL,"Atlantic City, NJ","Toledo, OH",587
SCE,TOL,"State College, PA","Toledo, OH",23
PIT,TOL,"Pittsburgh, PA","Toledo, OH",3
CVG,TOL,"Cincinnati, OH","Toledo, OH",20331
STL,TOL,"St. Louis, MO","Toledo, OH",73
FWA,TOL,"Fort Wayne, IN","Toledo, OH",54
AEX,TOL,"Alexandria, LA","Toledo, OH",49
CRW,TOL,"Charleston, WV","Toledo, OH",27
ILG,TOL,"Wilmington, DE","Toledo, OH",40
IAD,TOL,"Washington, DC","Toledo, OH",250
DCA,TOL,"Washington, DC","Toledo, OH",83
MSP,TOL,"Minneapolis, MN","Toledo, OH",166
SPI,TOL,"Springfield, IL","Toledo, OH",90
PGD,TOL,"Punta Gorda, FL","Toledo, OH",783
GRR,TOL,"Grand Rapids, MI","Toledo, OH",58
DFW,TOL,"Dallas, TX","Toledo, OH",215
FAT,TOL,"Fresno, CA","Toledo, OH",124
OKK,TOL,"Kokomo, IN","Toledo, OH",18
DAY,TOL,"Dayton, OH","Toledo, OH",29
ITH,TOL,"Ithaca, NY","Toledo, OH",28
CWA,TOL,"Wausau, WI","Toledo, OH",28
TUS,TOL,"Tucson, AZ","Toledo, OH",143
APN,TOL,"Alpena, MI","Toledo, OH",55
AUS,TOL,"Austin, TX","Toledo, OH",72
RNO,TOL,"Reno, NV","Toledo, OH",206
SFB,TOL,"Orlando, FL","Toledo, OH",16814
CMH,TOL,"Columbus, OH","Toledo, OH",122
GPT,TOL,"Gulfport, MS","Toledo, OH",216
ATL,TOL,"Atlanta, GA","Toledo, OH",4168
ORD,TOL,"Chicago, IL","Toledo, OH",34960
DTW,TOL,"Detroit, MI","Toledo, OH",28572
MDW,TOL,"Chicago, IL","Toledo, OH",72
CLE,TOL,"Cleveland, OH","Toledo, OH",4969
CLT,TOL,"Charlotte, NC","Toledo, OH",96
AZO,TOL,"Kalamazoo, MI","Toledo, OH",39
LGA,TOL,"New York, NY","Toledo, OH",44
SAV,TOL,"Savannah, GA","Toledo, OH",45
RIC,TOL,"Richmond, VA","Toledo, OH",47
RNO,FOE,"Reno, NV","Topeka, KS",118
AUS,FOE,"Austin, TX","Topeka, KS",83
ACT,FOE,"Waco, TX","Topeka, KS",35
TPA,FOE,"Tampa, FL","Topeka, KS",129
BGR,FOE,"Bangor, ME","Topeka, KS",382
BOS,FOE,"Boston, MA","Topeka, KS",148
OKC,FOE,"Oklahoma City, OK","Topeka, KS",184
FLL,FOE,"Fort Lauderdale, FL","Topeka, KS",448
SLC,FOE,"Salt Lake City, UT","Topeka, KS",299
CLL,FOE,"College Station, TX","Topeka, KS",145
DSM,FOE,"Des Moines, IA","Topeka, KS",149
PHX,FOE,"Phoenix, AZ","Topeka, KS",3
LBB,FOE,"Lubbock, TX","Topeka, KS",35
YIP,FOE,"Detroit, MI","Topeka, KS",49
DTW,FOE,"Detroit, MI","Topeka, KS",146
SAT,FOE,"San Antonio, TX","Topeka, KS",88
IAD,FOE,"Washington, DC","Topeka, KS",69
SHV,FOE,"Shreveport, LA","Topeka, KS",90
SBN,FOE,"South Bend, IN","Topeka, KS",39
RFD,FOE,"Rockford, IL","Topeka, KS",873
SVN,FOE,"Savannah, GA","Topeka, KS",168
PVD,TUS,"Providence, RI","Tucson, AZ",235
STL,TUS,"St. Louis, MO","Tucson, AZ",115
LAS,TUS,"Las Vegas, NV","Tucson, AZ",190025
SAN,TUS,"San Diego, CA","Tucson, AZ",117618
RIV,TUS,"Riverside, CA","Tucson, AZ",79
SNA,TUS,"Santa Ana, CA","Tucson, AZ",125
MEM,TUS,"Memphis, TN","Tucson, AZ",269
HOU,TUS,"Houston, TX","Tucson, AZ",451
IAH,TUS,"Houston, TX","Tucson, AZ",110780
OAK,TUS,"Oakland, CA","Tucson, AZ",21627
LBB,TUS,"Lubbock, TX","Tucson, AZ",26
MCO,TUS,"Orlando, FL","Tucson, AZ",245
LWS,TUS,"Lewiston, ID","Tucson, AZ",150
PHX,TUS,"Phoenix, AZ","Tucson, AZ",221917
GEG,TUS,"Spokane, WA","Tucson, AZ",4111
AZA,TUS,"Phoenix, AZ","Tucson, AZ",214
SEA,TUS,"Seattle, WA","Tucson, AZ",51706
PUW,TUS,"Pullman, WA","Tucson, AZ",107
RDU,TUS,"Raleigh, NC","Tucson, AZ",93
SLC,TUS,"Salt Lake City, UT","Tucson, AZ",64070
COS,DMA,"Colorado Springs, CO","Tucson, AZ",40
FLL,TUS,"Fort Lauderdale, FL","Tucson, AZ",120
SFO,TUS,"San Francisco, CA","Tucson, AZ",14261
IND,TUS,"Indianapolis, IN","Tucson, AZ",767
OKC,TUS,"Oklahoma City, OK","Tucson, AZ",183
PHL,TUS,"Philadelphia, PA","Tucson, AZ",325
LAX,TUS,"Los Angeles, CA","Tucson, AZ",256271
SAT,TUS,"San Antonio, TX","Tucson, AZ",8802
MSP,TUS,"Minneapolis, MN","Tucson, AZ",56225
ABQ,TUS,"Albuquerque, NM","Tucson, AZ",76787
SMF,TUS,"Sacramento, CA","Tucson, AZ",15351
IAD,TUS,"Washington, DC","Tucson, AZ",10400
DCA,TUS,"Washington, DC","Tucson, AZ",401
MCI,TUS,"Kansas City, MO","Tucson, AZ",8769
CLT,TUS,"Charlotte, NC","Tucson, AZ",21111
CLE,TUS,"Cleveland, OH","Tucson, AZ",159
ANC,TUS,"Anchorage, AK","Tucson, AZ",61
SJC,TUS,"San Jose, CA","Tucson, AZ",264
JFK,TUS,"New York, NY","Tucson, AZ",12862
SAF,TUS,"Santa Fe, NM","Tucson, AZ",5
RFD,DMA,"Rockford, IL","Tucson, AZ",116
DTW,TUS,"Detroit, MI","Tucson, AZ",230
ORD,TUS,"Chicago, IL","Tucson, AZ",98433
MDW,TUS,"Chicago, IL","Tucson, AZ",70931
ELP,TUS,"El Paso, TX","Tucson, AZ",1831
BUF,TUS,"Buffalo, NY","Tucson, AZ",137
ATL,TUS,"Atlanta, GA","Tucson, AZ",104096
EWR,TUS,"Newark, NJ","Tucson, AZ",17196
FOE,TUS,"Topeka, KS","Tucson, AZ",50
TOL,TUS,"Toledo, OH","Tucson, AZ",143
TUS,TUS,"Tucson, AZ","Tucson, AZ",55
EUG,TUS,"Eugene, OR","Tucson, AZ",303
BOS,TUS,"Boston, MA","Tucson, AZ",505
DFW,TUS,"Dallas, TX","Tucson, AZ",308428
RNO,TUS,"Reno, NV","Tucson, AZ",6422
OMA,TUS,"Omaha, NE","Tucson, AZ",6326
AUS,TUS,"Austin, TX","Tucson, AZ",7318
MIA,TUS,"Miami, FL","Tucson, AZ",75
TUL,TUS,"Tulsa, OK","Tucson, AZ",86
BNA,TUP,"Nashville, TN","Tupelo, MS",81
BHM,TUP,"Birmingham, AL","Tupelo, MS",46
MGM,TUP,"Montgomery, AL","Tupelo, MS",73
GSP,TUP,"Greenville, SC","Tupelo, MS",43
DSM,TUP,"Des Moines, IA","Tupelo, MS",49
HSV,TUP,"Huntsville, AL","Tupelo, MS",27
CHS,TUP,"Charleston, SC","Tupelo, MS",89
GSO,TUP,"Greensboro, NC","Tupelo, MS",133
AUS,TUP,"Austin, TX","Tupelo, MS",121
BOS,TUP,"Boston, MA","Tupelo, MS",75
MOB,TUP,"Mobile, AL","Tupelo, MS",17
MLU,TUP,"Monroe, LA","Tupelo, MS",20
OKC,TUP,"Oklahoma City, OK","Tupelo, MS",20
ATL,TUP,"Atlanta, GA","Tupelo, MS",151
DTW,TUP,"Detroit, MI","Tupelo, MS",50
MEM,TUP,"Memphis, TN","Tupelo, MS",17661
JAN,TUP,"Jackson, MS","Tupelo, MS",48
GPT,TUP,"Gulfport, MS","Tupelo, MS",45
CMH,TUP,"Columbus, OH","Tupelo, MS",45
CAE,TUP,"Columbia, SC","Tupelo, MS",32
CLE,TUP,"Cleveland, OH","Tupelo, MS",47
CLT,TUP,"Charlotte, NC","Tupelo, MS",48
GNV,TUP,"Gainesville, FL","Tupelo, MS",135
BTR,TUP,"Baton Rouge, LA","Tupelo, MS",192
PIB,TUP,"Hattiesburg, MS","Tupelo, MS",6
XNA,TUP,"Fayetteville, AR","Tupelo, MS",145
FYV,TUP,"Fayetteville, AR","Tupelo, MS",132
PFN,TUP,"Panama City, FL","Tupelo, MS",35
FMN,VEL,"Farmington, NM","Vernal, UT",1
SLC,VEL,"Salt Lake City, UT","Vernal, UT",27
LAR,VEL,"Laramie, WY","Vernal, UT",54
SLC,CWA,"Salt Lake City, UT","Wausau, WI",626
RNO,CWA,"Reno, NV","Wausau, WI",267
OMA,CWA,"Omaha, NE","Wausau, WI",100
ORD,CWA,"Chicago, IL","Wausau, WI",43114
DTW,CWA,"Detroit, MI","Wausau, WI",37420
MKE,CWA,"Milwaukee, WI","Wausau, WI",12639
MQT,CWA,"Marquette, MI","Wausau, WI",24
FSM,CWA,"Fort Smith, AR","Wausau, WI",85
DSM,CWA,"Des Moines, IA","Wausau, WI",9
EAU,CWA,"Eau Claire, WI","Wausau, WI",20
FWA,CWA,"Fort Wayne, IN","Wausau, WI",78
CVG,CWA,"Cincinnati, OH","Wausau, WI",33
MSY,CWA,"New Orleans, LA","Wausau, WI",179
MSP,CWA,"Minneapolis, MN","Wausau, WI",54948
MSO,YKM,"Missoula, MT","Yakima, WA",167
GEG,YKM,"Spokane, WA","Yakima, WA",102
SEA,YKM,"Seattle, WA","Yakima, WA",55322
BIL,YKM,"Billings, MT","Yakima, WA",131
PUW,YKM,"Pullman, WA","Yakima, WA",94
AMA,YKM,"Amarillo, TX","Yakima, WA",85
BZN,YKM,"Bozeman, MT","Yakima, WA",69
ALW,YKM,"Walla Walla, WA","Yakima, WA",62
LAX,YKM,"Los Angeles, CA","Yakima, WA",119
GTF,YKM,"Great Falls, MT","Yakima, WA",73
EAT,YKM,"Wenatchee, WA","Yakima, WA",57
SAN,YKM,"San Diego, CA","Yakima, WA",118
SNA,YKM,"Santa Ana, CA","Yakima, WA",115
SLC,YKM,"Salt Lake City, UT","Yakima, WA",11065
DFW,YKM,"Dallas, TX","Yakima, WA",131
CID,ABI,"Cedar Rapids, IA","Abilene, TX",78
ABQ,ABI,"Albuquerque, NM","Abilene, TX",289
SJT,ABI,"San Angelo, TX","Abilene, TX",95
CHA,ABI,"Chattanooga, TN","Abilene, TX",18
MCI,ABI,"Kansas City, MO","Abilene, TX",140
STJ,ABI,"St. Joseph, MO","Abilene, TX",106
LAX,ABI,"Los Angeles, CA","Abilene, TX",544
MSP,ABI,"Minneapolis, MN","Abilene, TX",105
SGF,ABI,"Springfield, MO","Abilene, TX",51
SAT,ABI,"San Antonio, TX","Abilene, TX",182
IAH,ABI,"Houston, TX","Abilene, TX",9613
ELP,ABI,"El Paso, TX","Abilene, TX",203
ATL,ABI,"Atlanta, GA","Abilene, TX",131
RIC,ABI,"Richmond, VA","Abilene, TX",217
PDX,ABI,"Portland, OR","Abilene, TX",138
CLE,ABI,"Cleveland, OH","Abilene, TX",56
TYS,ABI,"Knoxville, TN","Abilene, TX",39
LFT,ABI,"Lafayette, LA","Abilene, TX",18
OKC,ABI,"Oklahoma City, OK","Abilene, TX",273
SFO,ABI,"San Francisco, CA","Abilene, TX",516
SPS,ABI,"Wichita Falls, TX","Abilene, TX",74
PHL,ABI,"Philadelphia, PA","Abilene, TX",222
CRP,ABI,"Corpus Christi, TX","Abilene, TX",43
SBA,ABI,"Santa Barbara, CA","Abilene, TX",66
GJT,ABI,"Grand Junction, CO","Abilene, TX",35
JAX,ABI,"Jacksonville, FL","Abilene, TX",102
SLC,ABI,"Salt Lake City, UT","Abilene, TX",381
CLL,ABI,"College Station, TX","Abilene, TX",27
DFW,ABI,"Dallas, TX","Abilene, TX",75575
MOB,ABI,"Mobile, AL","Abilene, TX",26
LRD,ABI,"Laredo, TX","Abilene, TX",45
BOS,ABI,"Boston, MA","Abilene, TX",127
RNO,ABI,"Reno, NV","Abilene, TX",252
OMA,ABI,"Omaha, NE","Abilene, TX",250
FNT,ABI,"Flint, MI","Abilene, TX",36
TYR,ABI,"Tyler, TX","Abilene, TX",22
PIA,ABI,"Peoria, IL","Abilene, TX",45
PIT,ABI,"Pittsburgh, PA","Abilene, TX",104
BNA,ABI,"Nashville, TN","Abilene, TX",72
SAN,ABI,"San Diego, CA","Abilene, TX",286
SNA,ABI,"Santa Ana, CA","Abilene, TX",123
PNS,ABI,"Pensacola, FL","Abilene, TX",43
LAS,ABI,"Las Vegas, NV","Abilene, TX",237
HSV,ABI,"Huntsville, AL","Abilene, TX",22
GSO,ABI,"Greensboro, NC","Abilene, TX",27
FWA,ABI,"Fort Wayne, IN","Abilene, TX",46
GSP,ABI,"Greenville, SC","Abilene, TX",37
DSM,ABI,"Des Moines, IA","Abilene, TX",120
CHS,ABI,"Charleston, SC","Abilene, TX",33
ICT,ABI,"Wichita, KS","Abilene, TX",133
PHX,ABI,"Phoenix, AZ","Abilene, TX",132
AMA,ABI,"Amarillo, TX","Abilene, TX",167
SEA,ABI,"Seattle, WA","Abilene, TX",438
SEA,DYS,"Seattle, WA","Abilene, TX",154
PHX,DYS,"Phoenix, AZ","Abilene, TX",40
ROW,ABI,"Roswell, NM","Abilene, TX",48
LBB,ABI,"Lubbock, TX","Abilene, TX",107
MAF,ABI,"Midland, TX","Abilene, TX",192
MCO,ABI,"Orlando, FL","Abilene, TX",113
GRK,ABI,"Killeen, TX","Abilene, TX",48
MSN,ABI,"Madison, WI","Abilene, TX",43
IAD,AOO,"Washington, DC","Altoona, PA",7504
PDX,AST,"Portland, OR","Astoria, OR",13
BFI,AST,"Seattle, WA","Astoria, OR",5
SEA,AST,"Seattle, WA","Astoria, OR",2
IAH,ATL,"Houston, TX","Atlanta, GA",432218
HOU,ATL,"Houston, TX","Atlanta, GA",302542
BUF,ATL,"Buffalo, NY","Atlanta, GA",329113
ATL,ATL,"Atlanta, GA","Atlanta, GA",182
AGS,ATL,"Augusta, GA","Atlanta, GA",111361
BZN,ATL,"Bozeman, MT","Atlanta, GA",7795
ABI,ATL,"Abilene, TX","Atlanta, GA",25
ELP,ATL,"El Paso, TX","Atlanta, GA",73446
ORD,ATL,"Chicago, IL","Atlanta, GA",698572
DTW,ATL,"Detroit, MI","Atlanta, GA",568171
MDW,ATL,"Chicago, IL","Atlanta, GA",430052
ATW,ATL,"Appleton, WI","Atlanta, GA",29458
GTR,ATL,"Columbus, MS","Atlanta, GA",34057
CSG,ATL,"Columbus, GA","Atlanta, GA",50622
RDU,ATL,"Raleigh, NC","Atlanta, GA",590082
ICT,ATL,"Wichita, KS","Atlanta, GA",167469
CAE,ATL,"Columbia, SC","Atlanta, GA",137771
SEA,ATL,"Seattle, WA","Atlanta, GA",457107
PHX,ATL,"Phoenix, AZ","Atlanta, GA",628612
ROA,ATL,"Roanoke, VA","Atlanta, GA",62547
AMA,ATL,"Amarillo, TX","Atlanta, GA",154
PHX,FTY,"Phoenix, AZ","Atlanta, GA",2
BFI,ATL,"Seattle, WA","Atlanta, GA",70
GPT,ATL,"Gulfport, MS","Atlanta, GA",195175
CMH,ATL,"Columbus, OH","Atlanta, GA",219828
EWN,ATL,"New Bern, NC","Atlanta, GA",27858
BDL,ATL,"Hartford, CT","Atlanta, GA",263484
EYW,ATL,"Key West, FL","Atlanta, GA",53458
FLO,ATL,"Florence, SC","Atlanta, GA",21440
HNL,ATL,"Honolulu, HI","Atlanta, GA",155444
MTJ,ATL,"Montrose, CO","Atlanta, GA",2738
MKG,ATL,"Muskegon, MI","Atlanta, GA",25
MEI,ATL,"Meridian, MS","Atlanta, GA",19617
MEM,ATL,"Memphis, TN","Atlanta, GA",408704
MCO,ATL,"Orlando, FL","Atlanta, GA",1436625
OAK,ATL,"Oakland, CA","Atlanta, GA",11135
LAN,ATL,"Lansing, MI","Atlanta, GA",190
JAN,ATL,"Jackson, MS","Atlanta, GA",165762
MSN,ATL,"Madison, WI","Atlanta, GA",15466
GRK,ATL,"Killeen, TX","Atlanta, GA",21778
JAC,ATL,"Jackson, WY","Atlanta, GA",15531
PHL,ATL,"Philadelphia, PA","Atlanta, GA",824337
SFO,ATL,"San Francisco, CA","Atlanta, GA",543811
OKC,ATL,"Oklahoma City, OK","Atlanta, GA",105908
JAX,ATL,"Jacksonville, FL","Atlanta, GA",727463
IND,ATL,"Indianapolis, IN","Atlanta, GA",407871
MYR,ATL,"Myrtle Beach, SC","Atlanta, GA",84845
CRP,ATL,"Corpus Christi, TX","Atlanta, GA",208
ACY,ATL,"Atlantic City, NJ","Atlanta, GA",4388
ACY,FTY,"Atlantic City, NJ","Atlanta, GA",1
TVC,ATL,"Traverse City, MI","Atlanta, GA",34
SFO,PDK,"San Francisco, CA","Atlanta, GA",1
SCE,ATL,"State College, PA","Atlanta, GA",5051
OAJ,ATL,"Jacksonville, NC","Atlanta, GA",37190
GJT,ATL,"Grand Junction, CO","Atlanta, GA",52
CHO,ATL,"Charlottesville, VA","Atlanta, GA",29504
SLC,ATL,"Salt Lake City, UT","Atlanta, GA",521698
PBI,ATL,"West Palm Beach, FL","Atlanta, GA",569151
COS,ATL,"Colorado Springs, CO","Atlanta, GA",54646
FLL,ATL,"Fort Lauderdale, FL","Atlanta, GA",1199733
SAT,ATL,"San Antonio, TX","Atlanta, GA",331378
PFN,ATL,"Panama City, FL","Atlanta, GA",109095
MSP,ATL,"Minneapolis, MN","Atlanta, GA",595584
LAX,ATL,"Los Angeles, CA","Atlanta, GA",967138
FSD,ATL,"Sioux Falls, SD","Atlanta, GA",5037
MSY,ATL,"New Orleans, LA","Atlanta, GA",521809
SGF,ATL,"Springfield, MO","Atlanta, GA",40233
TLH,ATL,"Tallahassee, FL","Atlanta, GA",180554
XNA,ATL,"Fayetteville, AR","Atlanta, GA",70255
GRR,ATL,"Grand Rapids, MI","Atlanta, GA",56548
CID,ATL,"Cedar Rapids, IA","Atlanta, GA",12869
FYV,ATL,"Fayetteville, AR","Atlanta, GA",51
FAY,ATL,"Fayetteville, NC","Atlanta, GA",87049
MCI,ATL,"Kansas City, MO","Atlanta, GA",434387
BTR,ATL,"Baton Rouge, LA","Atlanta, GA",113098
ABQ,ATL,"Albuquerque, NM","Atlanta, GA",141299
CHA,ATL,"Chattanooga, TN","Atlanta, GA",83260
LIT,ATL,"Little Rock, AR","Atlanta, GA",159551
SMF,ATL,"Sacramento, CA","Atlanta, GA",112040
SHV,ATL,"Shreveport, LA","Atlanta, GA",64764
IAD,ATL,"Washington, DC","Atlanta, GA",494718
DCA,ATL,"Washington, DC","Atlanta, GA",839045
ILM,ATL,"Wilmington, NC","Atlanta, GA",83161
TCL,ATL,"Tuscaloosa, AL","Atlanta, GA",402
SBN,ATL,"South Bend, IN","Atlanta, GA",43382
GTF,ATL,"Great Falls, MT","Atlanta, GA",166
GNV,ATL,"Gainesville, FL","Atlanta, GA",81252
BMI,ATL,"Bloomington, IL","Atlanta, GA",151690
YNG,ATL,"Youngstown, OH","Atlanta, GA",46
CVG,ATL,"Cincinnati, OH","Atlanta, GA",250221
DSM,ATL,"Des Moines, IA","Atlanta, GA",43834
MHT,ATL,"Manchester, NH","Atlanta, GA",41780
GSP,ATL,"Greenville, SC","Atlanta, GA",137448
FWA,ATL,"Fort Wayne, IN","Atlanta, GA",38150
EVV,ATL,"Evansville, IN","Atlanta, GA",38696
HSV,ATL,"Huntsville, AL","Atlanta, GA",166593
MGM,ATL,"Montgomery, AL","Atlanta, GA",97393
MDT,ATL,"Harrisburg, PA","Atlanta, GA",80148
GSO,ATL,"Greensboro, NC","Atlanta, GA",169909
STL,ATL,"St. Louis, MO","Atlanta, GA",385869
SUS,ATL,"St. Louis, MO","Atlanta, GA",42
BTV,ATL,"Burlington, VT","Atlanta, GA",30751
BHM,ATL,"Birmingham, AL","Atlanta, GA",276783
CHS,ATL,"Charleston, SC","Atlanta, GA",444842
FSM,ATL,"Fort Smith, AR","Atlanta, GA",16926
CRW,ATL,"Charleston, WV","Atlanta, GA",52193
AEX,ATL,"Alexandria, LA","Atlanta, GA",35237
PVD,ATL,"Providence, RI","Atlanta, GA",73920
PIT,ATL,"Pittsburgh, PA","Atlanta, GA",457834
LEX,ATL,"Lexington, KY","Atlanta, GA",117999
PNS,ATL,"Pensacola, FL","Atlanta, GA",439174
MKE,ATL,"Milwaukee, WI","Atlanta, GA",350155
SNA,ATL,"Santa Ana, CA","Atlanta, GA",219158
LYH,ATL,"Lynchburg, VA","Atlanta, GA",20892
BNA,ATL,"Nashville, TN","Atlanta, GA",268268
SAN,ATL,"San Diego, CA","Atlanta, GA",450724
LAS,ATL,"Las Vegas, NV","Atlanta, GA",809154
ROC,ATL,"Rochester, NY","Atlanta, GA",206443
SAV,ATL,"Savannah, GA","Atlanta, GA",415882
RIC,ATL,"Richmond, VA","Atlanta, GA",429345
JFK,ATL,"New York, NY","Atlanta, GA",316931
LGA,ATL,"New York, NY","Atlanta, GA",1122132
SJC,ATL,"San Jose, CA","Atlanta, GA",92080
PWM,ATL,"Portland, ME","Atlanta, GA",61505
PDX,ATL,"Portland, OR","Atlanta, GA",179677
VLD,ATL,"Valdosta, GA","Atlanta, GA",37800
SYR,ATL,"Syracuse, NY","Atlanta, GA",79142
ABE,ATL,"Allentown, PA","Atlanta, GA",35037
AVP,ATL,"Scranton, PA","Atlanta, GA",25438
GRB,ATL,"Green Bay, WI","Atlanta, GA",4247
TYS,ATL,"Knoxville, TN","Atlanta, GA",155668
LFT,ATL,"Lafayette, LA","Atlanta, GA",39374
FCA,ATL,"Kalispell, MT","Atlanta, GA",3234
CLE,ATL,"Cleveland, OH","Atlanta, GA",180796
BWI,ATL,"Baltimore, MD","Atlanta, GA",720693
BKL,ATL,"Cleveland, OH","Atlanta, GA",48
ANC,ATL,"Anchorage, AK","Atlanta, GA",28635
CLT,ATL,"Charlotte, NC","Atlanta, GA",705847
BQK,ATL,"Brunswick, GA","Atlanta, GA",29596
AVL,ATL,"Asheville, NC","Atlanta, GA",81832
LAW,ATL,"Lawton, OK","Atlanta, GA",17437
MLU,ATL,"Monroe, LA","Atlanta, GA",29568
DAY,ATL,"Dayton, OH","Atlanta, GA",392666
MOB,ATL,"Mobile, AL","Atlanta, GA",118910
DFW,ATL,"Dallas, TX","Atlanta, GA",1051302
DHN,ATL,"Dothan, AL","Atlanta, GA",47626
DAL,ATL,"Dallas, TX","Atlanta, GA",48
BOS,ATL,"Boston, MA","Atlanta, GA",726999
EWR,ATL,"Newark, NJ","Atlanta, GA",774041
TOL,ATL,"Toledo, OH","Atlanta, GA",4367
PIA,ATL,"Peoria, IL","Atlanta, GA",24656
TUS,ATL,"Tucson, AZ","Atlanta, GA",104220
TUP,ATL,"Tupelo, MS","Atlanta, GA",142
MCN,ATL,"Macon, GA","Atlanta, GA",10579
MIA,ATL,"Miami, FL","Atlanta, GA",761422
CAK,ATL,"Akron, OH","Atlanta, GA",256177
ALB,ATL,"Albany, NY","Atlanta, GA",70787
AUS,ATL,"Austin, TX","Atlanta, GA",204530
RNO,ATL,"Reno, NV","Atlanta, GA",27209
FNT,ATL,"Flint, MI","Atlanta, GA",205985
TPA,ATL,"Tampa, FL","Atlanta, GA",1010173
AHN,ATL,"Athens, GA","Atlanta, GA",1043
OMA,ATL,"Omaha, NE","Atlanta, GA",77510
BGR,ATL,"Bangor, ME","Atlanta, GA",16929
TUL,ATL,"Tulsa, OK","Atlanta, GA",81264
OPF,PDK,"Miami, FL","Atlanta, GA",10
ABY,ATL,"Albany, GA","Atlanta, GA",39295
SMF,AGS,"Sacramento, CA","Augusta, GA",169
ILM,AGS,"Wilmington, NC","Augusta, GA",50
GNV,AGS,"Gainesville, FL","Augusta, GA",95
IAD,AGS,"Washington, DC","Augusta, GA",57
MSY,AGS,"New Orleans, LA","Augusta, GA",128
SAT,AGS,"San Antonio, TX","Augusta, GA",281
LAX,AGS,"Los Angeles, CA","Augusta, GA",176
CLT,AGS,"Charlotte, NC","Augusta, GA",68022
BWI,AGS,"Baltimore, MD","Augusta, GA",262
LGA,AGS,"New York, NY","Augusta, GA",830
SJC,AGS,"San Jose, CA","Augusta, GA",154
RIC,AGS,"Richmond, VA","Augusta, GA",209
SAV,AGS,"Savannah, GA","Augusta, GA",155
FLL,AGS,"Fort Lauderdale, FL","Augusta, GA",315
FXE,AGS,"Fort Lauderdale, FL","Augusta, GA",6
PBI,AGS,"West Palm Beach, FL","Augusta, GA",129
IND,AGS,"Indianapolis, IN","Augusta, GA",97
PHL,AGS,"Philadelphia, PA","Augusta, GA",661
JAX,AGS,"Jacksonville, FL","Augusta, GA",301
ACY,AGS,"Atlantic City, NJ","Augusta, GA",1166
MYR,AGS,"Myrtle Beach, SC","Augusta, GA",56
RNO,AGS,"Reno, NV","Augusta, GA",110
MIA,AGS,"Miami, FL","Augusta, GA",437
BGR,AGS,"Bangor, ME","Augusta, GA",61
DHN,AGS,"Dothan, AL","Augusta, GA",64
DAY,AGS,"Dayton, OH","Augusta, GA",83
BOS,AGS,"Boston, MA","Augusta, GA",427
DFW,AGS,"Dallas, TX","Augusta, GA",135
ATL,AGS,"Atlanta, GA","Augusta, GA",95435
BZN,AGS,"Bozeman, MT","Augusta, GA",164
CAE,AGS,"Columbia, SC","Augusta, GA",43
RDU,AGS,"Raleigh, NC","Augusta, GA",286
CSG,AGS,"Columbus, GA","Augusta, GA",59
SFB,AGS,"Orlando, FL","Augusta, GA",380
MCO,AGS,"Orlando, FL","Augusta, GA",797
IAH,AGS,"Houston, TX","Augusta, GA",215
MEM,AGS,"Memphis, TN","Augusta, GA",146
GPT,AGS,"Gulfport, MS","Augusta, GA",106
BDL,AGS,"Hartford, CT","Augusta, GA",140
EWN,AGS,"New Bern, NC","Augusta, GA",44
BDR,AGS,"Bridgeport, CT","Augusta, GA",2
CHS,AGS,"Charleston, SC","Augusta, GA",31
GSO,AGS,"Greensboro, NC","Augusta, GA",83
CVG,AGS,"Cincinnati, OH","Augusta, GA",44
MHT,AGS,"Manchester, NH","Augusta, GA",69
SAN,AGS,"San Diego, CA","Augusta, GA",172
ROC,AGS,"Rochester, NY","Augusta, GA",58
SNA,AGS,"Santa Ana, CA","Augusta, GA",163
BGR,AUG,"Bangor, ME","Augusta, ME",3
BOS,AUG,"Boston, MA","Augusta, ME",3314
DET,WVL,"Detroit, MI","Augusta, ME",1
IAD,BKW,"Washington, DC","Beckley, WV",2838
CRW,BKW,"Charleston, WV","Beckley, WV",4
MSN,BJI,"Madison, WI","Bemidji, MN",32
MSP,BJI,"Minneapolis, MN","Bemidji, MN",22784
PDX,BZN,"Portland, OR","Bozeman, MT",117
GTF,BZN,"Great Falls, MT","Bozeman, MT",3727
IDA,BZN,"Idaho Falls, ID","Bozeman, MT",6108
SMF,BZN,"Sacramento, CA","Bozeman, MT",116
LAX,BZN,"Los Angeles, CA","Bozeman, MT",535
MSP,BZN,"Minneapolis, MN","Bozeman, MT",89300
FSD,BZN,"Sioux Falls, SD","Bozeman, MT",103
ATL,BZN,"Atlanta, GA","Bozeman, MT",9021
ORD,BZN,"Chicago, IL","Bozeman, MT",23391
DTW,BZN,"Detroit, MI","Bozeman, MT",1696
CVG,BZN,"Cincinnati, OH","Bozeman, MT",131
LAS,BZN,"Las Vegas, NV","Bozeman, MT",2841
MHK,BZN,"Manhattan, KS","Bozeman, MT",123
SFO,BZN,"San Francisco, CA","Bozeman, MT",1278
SLC,BZN,"Salt Lake City, UT","Bozeman, MT",85866
SEA,BZN,"Seattle, WA","Bozeman, MT",29739
BIL,BZN,"Billings, MT","Bozeman, MT",295
